ELEMENTO,REFERENCIA,DESCRIPCION,ULT.VALOR COMPRA
1,8808,TELA DRIL ORION COLORES,9500
2,8031,TELA ANTIFLUIDO ARAMIS,8500
3,8099,TELA ANTIFLUIDO IMPERIAL,8500
4,8819,TELA DACRON MENTA KAKY,5300
5,8816,TELA DACRON MENTA BLANCO,5300
6,8820,TELA DRIL RAZA NARANJA,9800
7,8821,TELA DRIL RAZA NEGRO,9800
8,8822,TELA DRIL VULCANO A. TURKY,11200
9,8823,TELA DRIL VULCANO KAKY,10200
10,9110-1,TELA DRIL VULCANO VERDE CALI,9800
11,8816-1,TELA VENDAVAL CRUSHE,16150
12,8817,TELA PERCHADA BAMBINO,6500
13,8824,TELA LACOST ARANZA COLORES,8900
14,,TELA LACOST ARANZA A. TURQUI,8900
15,8833,TELA LACOST SUPREMA COLORES,13500
16,8014,TELA PERCHADA AZUL TURQUI,9800
17,9117-1,TELA MALLA YUGOSLAVIA NEGRA,5500
18,9118-1,TELA OXFORD AZUL CLARO,7900
20,8840,TELA RIB,9200
21,,TELA TWILL,9200
22,8818,TELA DACRON CHINO BLANCO,3200
23,8801,TELA OXFORD BLANCO,7900
24,8802,TELA DEPORTIVA SUDAFRICA,6200
25,8804,TELA DRIL VULCANO BLANCO,9200
26,8803,TELA DRIL RAZA AZUL REY,9800
27,8805,TELA DRIL RAZA VERDE MILITAR,9800
28,8806,TELA OXFORD COLORES,7900
29,8807,TELA DRIL RAZA VERDE CALI,9800
30,8809,TELA INDIGO LABORAL,8900
31,8810,TELA INDIGO STRECH,8900
33,8924,TELA VENDAVAL NEON,2933
34,8026,TELA DRIL LABORAL,4800
35,8027,TELA ANTIFLUIDO NAPOLEON,7800
36,8827,TELA PERCHADA SEUL,9200
37,8830,TELA DACRON CHINO COLORES,3200
38,8029,TELA ANTIFLUIDO UNIVERSAL,15800
39,8831,TELA DACRON MARQUEZ,4800
40,8832,TELA DACRON MENTA TURQUI,5300
41,8834,TELA NIRVANA AZUL TURQUI,5200
42,8835,TELA NIRVANA GRIS,5200
45,8838,TELA DRIL TWILL COLORES,98000
46,8839,TELA FRANELA NEVADA,6800
47,8935,TELA ANTIFLUIDO ASTRAL,7800
48,8841,TELA FRANELA ACUARIO,6800
49,9101,TELA ANTIFLUIDO MUNDIAL,7800
50,8851,TELA INDIGO LIVIANO,8900
51,9102,TELA DACRON REINA QUIRURGICO,10392.29
53,8838-1,TELA TWILL SPANDEX,14155.69
54,9154,TELA MALLA ORION,4200
57,9157,TELA LIVIANA LE HALLES,16350
59,9159,TELA LIVIANA PARKER,18100
60,9160,TELA DRIL FORTALEZA,8900.99
62,9162,TELA LICRA,12634.14
63,9163,TELA DRIL EVERST,13249.99
64,9164,TELA LACOST POLUX,15800
65,9165,TELA LINO FLEX,4800
66,9166,TELA LINO VERTIGO,7395
69,9169,TELA LIVIANA ELIOT,6990
71,9171,TELA DEPORTIVA,5462.5
72,9172,TELA DEPORTIVA MESSI NEON,4705.88
74,9174,TELA NOVASTRETCH,20700
75,9175,TELA ANTIFLUIDO ESMERALDA,4900
78,9178,TELA OXFORD A RAYAS ELIOT,8900
2,8901,BOTON KIKO,10
3,8902,BOTON TRANSPARENTE 20 LINEAS,21.88
4,8903,BOTON PUNTILLA,26
5,8904,BOTON PANTALONERO,23.92
6,8905,CIERRE NAYLON 20 CM,350
7,8906,CIERRE NAYLON 0.75 CM,550
10,8909,CIERRE DEL RIN,630.3
11,8910,DESLIZADOR,168.08
12,8911,RESORTE 3.5. CM,450
13,8912,CIERRE COBRE 17CM,500
15,8814,RESORTE CORDON 3.5 CM,354.81
16,8914,RESORTE 2CM,235.3
17,8915,VELCRO 3.5 CM,437.92
18,8916,CINTA REFLECTIVA 1,266
19,8917 - TR-401/F/DW25,CINTA REFLECTIVA 2,536
20,8918,CORDON POLIESTER No. 32,92.44
21,8919,TANCA GRANADA,58.82
23,8921,GARRA ZOLL,140
24,8922,BANDERA ZOLL,54
25,8923,BROCHES YORDAO,110
26,WCAG2P100F,CINTA REFLECTIVA COMBINADA 2,1400
28,8926,BOTON MELODY,20
29,8927,FUSIONABLE,4500
30,8928,SESGO,252.1
31,8929,GUATA,3613.44
32,8930,JUEGO DE CUELLOS Y PUNOS,2420
33,8931,APLIQUE BORDADO,3000
35,9201,CUELLOS,1764.5
38,2057TFR,ENTRETELA,7983.25
39,E018 TERMOS,ENTRETELA,7983.2
